Country,Latitude,Longitude
Afghanistan,33.768006,66.238514
Albania,41.000028,19.999962
Algeria,28.000027,2.999983
Andorra,42.540717,1.573203
Angola,-11.877577,17.569124
Antigua and Barbuda,17.223472,-61.955461
Argentina,-34.996496,-64.967282
Armenia,40.769627,44.673665
Australia,-24.776109,134.755000
Austria,47.593970,14.124560
Azerbaijan,40.393629,47.787251
Bahamas,24.773655,-78.000055
Bahrain,26.155125,50.534461
Bangladesh,24.476929,90.293441
Barbados,13.150033,-59.525030
Belarus,53.425061,27.697136
Belgium,50.640281,4.666715
Belize,17.120494,-88.685903
Benin,9.529347,2.258441
Bhutan,27.549511,90.511927
Bolivia,-17.056870,-64.991229
Botswana,-23.168178,24.592874
Brazil,-10.333333,-53.200000
Brunei,4.413716,114.565391
Bulgaria,42.607397,25.485662
Burkina Faso,12.075308,-1.688031
Burundi,-3.426449,29.932452
Cabo Verde,16.000055,-24.008395
Cambodia,12.543322,104.814491
Cameroon,4.612552,13.153581
Canada,61.066692,-107.991707
Central African Republic,7.032360,19.998123
Chad,15.613414,19.015617
Chile,-31.761336,-71.318770
China,35.000074,104.999927
Colombia,4.099917,-72.908813
Comoros,-12.204518,44.283296
Costa Rica,10.273563,-84.073910
Cote d'Ivoire,7.989737,-5.567946
Croatia,45.365844,15.657521
Cuba,23.013134,-80.832875
Cyprus,34.982302,33.145128
Czech Republic,49.743905,15.338106
Democratic Republic of the Congo,-2.981434,23.822264
Denmark,55.670249,10.333328
Djibouti,11.814597,42.845306
Dominica,19.097403,-70.302803
Dominican Republic,19.097403,-70.302803
Ecuador,-1.339767,-79.366697
Egypt,26.254049,29.267547
El Salvador,13.800038,-88.914068
Equatorial Guinea,1.613172,10.517036
Eritrea,15.950032,37.999967
Estonia,58.752378,25.331908
Eswatini,-26.562481,31.399132
Ethiopia,10.211670,38.652120
Fiji,-18.123970,179.012274
Finland,63.246778,25.920916
France,46.603354,1.888334
Gabon,-0.899969,11.689970
Gambia,13.470062,-15.490046
Georgia,41.680867,44.028781
Germany,51.163818,10.447831
Ghana,8.030028,-1.080027
Greece,38.995368,21.987713
Grenada,12.136037,-61.690404
Guatemala,15.585555,-90.345759
Guinea,10.722623,-10.708359
Guinea-Bissau,11.815215,-15.235104
Guyana,4.841710,-58.641689
Haiti,19.139995,-72.357097
Honduras,15.257243,-86.075514
Hungary,47.181759,19.506094
Iceland,64.984182,-18.105901
India,22.351115,78.667743
Indonesia,-2.483383,117.890285
Iran,32.647531,54.564352
Iraq,33.095579,44.174977
Ireland,52.865196,-7.979460
Israel,30.812425,34.859476
Italy,42.638426,12.674297
Jamaica,18.185051,-77.394769
Japan,36.574844,139.239418
Jordan,31.166705,36.941628
Kazakhstan,48.101295,66.778082
Kenya,1.441968,38.431398
Kiribati,0.344861,173.664177
Kuwait,29.273396,47.497948
Kyrgyzstan,41.508932,74.724091
Laos,20.017111,103.378253
Latvia,56.840649,24.753764
Lebanon,33.875063,35.843409
Lesotho,-29.603927,28.335019
Liberia,5.749972,-9.365852
Libya,26.823447,18.123672
Liechtenstein,47.141631,9.553153
Lithuania,55.350000,23.750000
Luxembourg,49.815868,6.129675
Madagascar,-18.924960,46.441642
Malawi,-13.268720,33.930196
Malaysia,4.569375,102.265682
Maldives,3.720350,73.224415
Mali,16.370036,-2.290024
Malta,35.888599,14.447691
Marshall Islands,8.230817,167.795322
Mauritania,20.254038,-9.239926
Mauritius,-20.275945,57.570357
Mexico,23.658512,-102.007710
Micronesia,8.606235,151.832744
Moldova,47.287961,28.567094
Monaco,43.732349,7.427683
Mongolia,46.825039,103.849974
Montenegro,42.986885,19.518099
Morocco,31.172821,-7.336248
Mozambique,-19.302233,34.914498
Myanmar,17.175050,95.999965
Namibia,-23.233550,17.323111
Nauru,-0.525231,166.932443
Nepal,28.378046,83.999990
Netherlands,52.243498,5.634323
New Zealand,-41.500083,172.834408
Nicaragua,12.609016,-85.293691
Niger,17.735621,9.323843
Nigeria,9.600036,7.999972
North Korea,40.373661,127.087042
North Macedonia,41.617121,21.716839
Norway,61.152939,8.787665
Oman,21.000029,57.003690
Pakistan,30.330840,71.247499
Palau,5.378354,132.910257
Palestine,31.462421,34.262722
Panama,8.559559,-81.130843
Papua New Guinea,-5.681607,144.248908
Paraguay,-23.316593,-58.169345
Peru,-6.869970,-75.045851
Philippines,12.750349,122.731210
Poland,52.215933,19.134422
Portugal,39.662165,-8.135352
Qatar,25.333698,51.2295
Romania,45.985213,24.685923
Russia,64.686314,97.745306
Rwanda,-1.964663,30.064436
Saint Kitts and Nevis,17.250512,-62.672597
Saint Lucia,13.825049,-60.975036
Saint Vincent and the Grenadines,12.904470,-61.276557
Samoa,-13.769390,-172.120050
San Marino,43.945862,12.458306
Sao Tome and Principe,0.971310,7.022550
Saudi Arabia,25.624262,42.352833
Senegal,14.475061,-14.452961
Serbia,44.153412,20.551440
Seychelles,-4.657498,55.454015
Sierra Leone,8.640035,-11.840027
Singapore,1.357107,103.819499
Slovakia,48.741152,19.452865
Slovenia,46.119944,14.815333
Solomon Islands,-8.705394,159.107069
Somalia,8.367677,49.083416
South Africa,-28.816624,24.991639
South Sudan,7.869943,29.666790
Spain,39.326068,-4.837979
Sri Lanka,7.555494,80.713785
Sudan,14.584444,29.491769
Suriname,4.141303,-56.077119
Sweden,59.674971,14.520858
Switzerland,46.798562,8.231974
Syria,34.640186,39.049411
Taiwan,23.973937,120.982018
Tajikistan,38.628173,70.815654
Tanzania,-6.524712,35.787844
Thailand,14.897192,100.832730
Timor-Leste,-8.744317,126.063482
Togo,8.780026,1.019977
Tonga,-19.916082,-175.202642
Trinidad and Tobago,10.746690,-61.084007
Tunisia,33.843941,9.400138
Turkey,38.959759,34.924965
Turkmenistan,39.376381,59.392461
Tuvalu,-8.640521,179.158292
Uganda,1.533355,32.216658
Ukraine,49.487197,31.271832
United Arab Emirates,24.000249,53.999483
United Kingdom,54.702354,-3.276575
United States,39.783730,-100.445882
Uruguay,-32.875555,-56.020153
Uzbekistan,41.323730,63.952810
Vanuatu,-16.525507,168.106915
Venezuela,8.001871,-66.110932
Vietnam,15.926666,107.965086
Yemen,16.347124,47.891527
Zambia,-14.518912,27.558988
Zimbabwe,-18.455496,29.746841